"mom","impervious","shrub","tree","forest","grass","disturbed","pasture","other","water","alltrees","total","height_m","total_basal_area_sqcm"
"1024PWP","0","0","0","9801","0","0","0","0","0","9801","9801",5.8,42
"1026PWP","0","0","0","9801","0","0","0","0","0","9801","9801",3,5
"1033PWP","641","0","559","8235","366","0","0","0","0","8794","9801",4,62
"1037PWP","61","0","0","8824","0","0","0","916","0","8824","9801",7.4,72
"1038PWP","398","0","85","8866","452","0","0","0","0","8951","9801",5.2,74
"1039PWP","2","0","0","7319","0","0","0","2480","0","7319","9801",4.2,46
"1040PWP","0","0","0","9801","0","0","0","0","0","9801","9801",5.6,65
"1041PWP","0","0","0","7790","0","0","0","2011","0","7790","9801",5.8,92
"1042PWP","0","0","2","9420","379","0","0","0","0","9422","9801",5.2,54
"1043PWP","0","0","0","9724","0","0","0","77","0","9724","9801",4.4,62
"1044PWP","0","0","34","9664","103","0","0","0","0","9698","9801",4,62
"1046PWP","0","0","2","9799","0","0","0","0","0","9801","9801",2.8,46
"1050PWP","1458","0","3101","43","5199","0","0","0","0","3144","9801",5.4,189
"1051PWP","1212","0","4284","0","4305","0","0","0","0","4284","9801",7,484
"1057PWP","0","0","0","9801","0","0","0","0","0","9801","9801",4.4,23
"1059PWP","0","0","0","9801","0","0","0","0","0","9801","9801",5,24
"1063PWP","0","0","0","9801","0","0","0","0","0","9801","9801",4.8,29
"1070PWP","1285","0","3681","3804","1031","0","0","0","0","7485","9801",3.6,29
"1075PWP","13","0","68","9715","5","0","0","0","0","9783","9801",NA,NA
"1081PWP","1180","0","1737","3854","3030","0","0","0","0","5591","9801",4.4,80
"135thSt","5029","0","1210","0","3562","0","0","0","0","1210","9801",8,894
"1613Sunbury","2908","0","1125","0","5768","0","0","0","0","1125","9801",6.2,308
"1613SunburyDr","3275","0","1288","0","5238","0","0","0","0","1288","9801",6.2,308
"1615Alaska","3198","0","2293","0","4310","0","0","0","0","2293","9801",4.8,269
"1716Fairfax","4565","0","1452","0","3784","0","0","0","0","1452","9801",4,224
"2201Semmes","7663","0","284","0","1854","0","0","0","0","284","9801",3.5,92
"2713Glenan","3776","0","2026","581","3418","0","0","0","0","2607","9801",3.8,44
"2906Decatur","6780","0","0","0","3021","0","0","0","0","0","9801",NA,314
"3022Porter","3986","0","2637","0","3178","0","0","0","0","2637","9801",NA,NA
"311Dundee","5264","0","1626","0","2911","0","0","0","0","1626","9801",NA,NA
"3120Cofer","3198","0","1455","0","5148","0","0","0","0","1455","9801",4.4,685
"3404Delano","3052","0","2468","859","3422","0","0","0","0","3327","9801",6.4,874
"356PWP","407","0","64","9330","0","0","0","0","0","9394","9801",4.9,38
"358PWP","457","0","1200","8144","0","0","0","0","0","9344","9801",NA,NA
"359PWP","1134","0","2199","5877","0","0","0","591","0","8076","9801",7.1,50
"3600McGuire","3706","0","3130","0","2965","0","0","0","0","3130","9801",5.9,103
"360PWP","489","0","1338","7694","0","0","0","280","0","9032","9801",5.3,50
"3617Dorset","2615","0","492","0","6694","0","0","0","0","492","9801",NA,NA
"361PWP","495","0","1258","6307","167","0","0","1574","0","7565","9801",6.6,39
"364PWP","530","0","415","8227","102","0","0","527","0","8642","9801",6.2,62
"366PWP","1086","0","1273","4881","2561","0","0","0","0","6154","9801",4.4,41
"367PWP","4","0","39","9714","44","0","0","0","0","9753","9801",5.8,42
"369PWP","1271","0","668","6675","1187","0","0","0","0","7343","9801",4.2,32
"3711FalstoneA","4875","0","1165","0","3761","0","0","0","0","1165","9801",NA,669
"3800EBroadRockRd","5691","0","1449","0","2661","0","0","0","0","1449","9801",8,1028
"4320ReservoirLn","3152","0","2480","561","2378","0","0","0","1230","3041","9801",6.2,486
"4500Adelaide","2817","0","2408","0","4576","0","0","0","0","2408","9801",4.8,320
"4623Brittania","5158","0","1219","0","3424","0","0","0","0","1219","9801",4,224
"4908Turner","2662","0","2137","0","5002","0","0","0","0","2137","9801",5.9,472
"5000Bryce","3294","0","1534","0","4973","0","0","0","0","1534","9801",NA,508
"5050BrookburyBlvd","3650","0","1447","0","4704","0","0","0","0","1447","9801",9.9,299
"5901CountryManorLn","4387","0","148","6","5260","0","0","0","0","154","9801",3.5,161
"6135Cogbill","2688","0","2778","1662","2673","0","0","0","0","4440","9801",NA,NA
"6200Halrose","3989","0","1979","0","3831","0","0","0","0","1979","9799",NA,NA
"6306PhobusDr","4856","0","840","0","4105","0","0","0","0","840","9801",2.6,49
"6525Corcoran","4745","0","1236","5","3815","0","0","0","0","1241","9801",4,161
"6601IrongateSq","3592","0","2271","0","3938","0","0","0","0","2271","9801",NA,NA
"6618Cyrus","4551","0","2087","0","3163","0","0","0","0","2087","9801",5.7,360
"6716WilmothDr","5122","0","1317","0","3362","0","0","0","0","1317","9801",NA,NA
"7508HilmarDr","4008","0","417","0","5376","0","0","0","0","417","9801",4.4,535
"7618RobinwoodDr","3191","0","2649","1932","2029","0","0","0","0","4581","9801",3.3,87
"7900MillRiverLn","3689","0","1155","0","4957","0","0","0","0","1155","9801",7.7,358
"tree2CountryManorLn","4670","0","3224","0","1907","0","0","0","0","3224","9801",4,58
